Rivinro,Tilauskoodi,RoHS-direktiivin mukainen?,Osanumero,Huomautuksia,Määrä,Valmistajan osanumero,Valmistajan nimi,Valmistaja / kuvaus,Saatavuus,Yksikköhinta,Tuotelinjahinta,Alennushinta
1,2847248,RoHS: YES / FTALAATIT: YES,,,10,2214S-40SG-85,MULTICOMP,"MULTICOMP  Board-To-Board Connector, 2.54 mm, 40 Contacts, Receptacle, Through Hole, 2 Rows",8402,0.799,7.99,
2,2748588,RoHS: YES / FTALAATIT: YES,,,10,ESQ-120-23-T-D,SAMTEC,"SAMTEC  Board-To-Board Connector, 2.54 mm, 40 Contacts, Receptacle, ESQ Series, Through Hole, 2 Rows",586,4.11,41.1,
3,2505021,RoHS: YES / FTALAATIT: YES,,,10,SSW-120-01-T-D,SAMTEC,"SAMTEC  Board-To-Board Connector, 2.54 mm, 40 Contacts, Receptacle, SSW Series, Through Hole, 2 Rows",216,2.29,22.9,
4,1256657,RoHS: YES / FTALAATIT: YES,,,10,M20-7852042,HARWIN,"HARWIN  Board-To-Board Connector, Bottom Entry, 2.54 mm, 40 Contacts, Receptacle, M20 Series, Through Hole",336,2.27,22.7,
5,2667433,RoHS: YES / FTALAATIT: YES,,,20,SSQ-110-03-F-S,SAMTEC,"SAMTEC  Board-To-Board Connector, Square Tail, 2.54 mm, 10 Contacts, Receptacle, SSQ Series, Through Hole",668,1.22,24.4,
6,1022261,RoHS: YES / FTALAATIT: YES,,,20,M20-9991046,HARWIN,"HARWIN  Board-To-Board Connector, 2.54 mm, 10 Contacts, Header, M20 Series, Through Hole, 1 Rows",3143,0.325,6.5,
7,2675796,RoHS: Y-EX / FTALAATIT: YES,,,50,1N4007+,MULTICOMP PRO,"MULTICOMP PRO  Standard Recovery Diode, 1 kV, 1 A, Single, 1 V, 30 A",469892,0.0516,2.58,
8,2848984,RoHS: YES / FTALAATIT: YES,,,10,TSR 2-2450,TRACOPOWER,"TRACOPOWER  Non Isolated POL DC/DC Converter, ITE, 1 Output, 10 W, 5 V, 2 A, Fixed",64,10.44,104.4,
9,1296634,RoHS: YES / FTALAATIT: YES,,,10,SP3232EEN-L,MAX LINEAR,"MAX LINEAR  Transceiver RS232, 2 Drivers, 3V-5.5V supply, SOIC-16",1257,1.24,12.4,
10,2064715,RoHS: YES / FTALAATIT: YES,,,10,CH25-2032LF,MULTICOMP,"MULTICOMP  Battery Holder, Coin Cell - 20mm x 1, Through Hole, DIP",35644,0.648,6.48,
11,2798760,RoHS: YES / FTALAATIT: YES,,,5,DS3231SN#T&R,MAXIM INTEGRATED PRODUCTS,"MAXIM INTEGRATED PRODUCTS  RTC IC, Date Time Format (Day/Date/Month/Year hh:mm:ss), I2C, 2.3 V to 5.5 V supply, SOIC-16",1203,7.86,39.3,
12,2112729,RoHS: YES / FTALAATIT: YES,,,50,C3225X7S1H106M250AB,TDK,"TDK  SMD Multilayer Ceramic Capacitor, 10 µF, 50 V, 1210 [3225 Metric], ± 20%, X7S, C Series TDK",8490,0.725,36.25,
13,2519311,RoHS: YES / FTALAATIT: YES,,,2,MAX9611AUB+,MAXIM INTEGRATED PRODUCTS,"MAXIM INTEGRATED PRODUCTS  Current Sense Amplifier, 1 Amplifier, 1 µA, µMAX, 10 Pins, -40 °C, 125 °C",128,2.24,4.48,
14,2290375,RoHS: YES / FTALAATIT: YES,,,20,L-154A4SUREQBFZGEW,KINGBRIGHT,"KINGBRIGHT  LED, RGB, Red, Green, Blue, Through Hole, T-1 3/4 (5mm), 60 °, Dome, R 30mA, G 30mA, B 30mA",27061,1.32,26.4,
15,145470,RoHS: YES / FTALAATIT: YES,,,20,A104800AAB,ARCOLECTRIC,"ARCOLECTRIC  LED Holder, 9.5 mm x 14.5 mm, Chrome, Brass, 5mm / T1.3/4 LEDs",6630,1.64,32.8,
16,491706,RoHS: YES / FTALAATIT: YES,,,4,A104700CHROME,ARCOLECTRIC,"ARCOLECTRIC  LED Holder, 7.6 mm x 13.9 mm, Chrome, Brass, 3mm / T-1 LEDs",647,10.55,42.2,
17,2805325,RoHS: Y-EX / FTALAATIT: YES,,,20,RLP73M3AR043FTDF,TE CONNECTIVITY,"TE CONNECTIVITY  SMD Current Sense Resistor, 0.043 ohm, RL73 Series, 2512 [6432 Metric], 2 W, ± 1%, Thick Film",1007,0.651,13.02,
18,2828113,RoHS: YES / FTALAATIT: TBA,,,20,MCLRP12DTDRR022,MULTICOMP PRO,"MULTICOMP PRO  SMD Current Sense Resistor, 0.022 ohm, LRP Series, 2512 [6432 Metric], 3 W, ± 0.5%, Metal Strip",3760,0.371,7.42,
19,2828141,RoHS: YES / FTALAATIT: TBA,,,20,MCLRP12DTDSR047,MULTICOMP PRO,"MULTICOMP PRO  SMD Current Sense Resistor, 0.047 ohm, LRP Series, 2512 [6432 Metric], 2 W, ± 0.5%, Metal Strip",4000,0.345,6.9,
20,2419165,RoHS: YES / FTALAATIT: YES,,,20,C503B-ACN-CY0Z0342-030.,CREE,"CREE  LED, ROUND, 5MM, AMBER, 6CD, 591NM",150,0.15,3,
21,2419069,RoHS: YES / FTALAATIT: YES,,,20,C503B-GAN-CB0F0792,CREE,"CREE  LED, ROUND, 5MM, GREEN, 34CD, 527NM",203,0.235,4.7,
22,2112111,RoHS: YES / FTALAATIT: YES,,,20,703-0100,MULTICOMP PRO,"MULTICOMP PRO  LED, Red, Through Hole, 5mm, 20 mA, 1.8 V, 643 nm",9911,0.209,4.18,
23,2843622,RoHS: YES / FTALAATIT: YES,,,20,MCL053RHC,MULTICOMP PRO,"MULTICOMP PRO  LED, Red, Through Hole, 5mm, 20 mA, 2.2 V, 655 nm",14385,0.253,5.06,
24,2112109,RoHS: YES / FTALAATIT: YES,,,20,703-0098,MULTICOMP PRO,"MULTICOMP PRO  LED, Yellow, Through Hole, 5mm, 20 mA, 2.1 V, 590 nm",8136,0.171,3.42,
25,2112101,RoHS: YES / FTALAATIT: YES,,,20,703-0091,MULTICOMP PRO,"MULTICOMP PRO  LED, Red, Through Hole, 3mm, 20 mA, 1.9 V, 643 nm",9597,0.385,7.7,
26,2112096,RoHS: YES / FTALAATIT: YES,,,20,703-0087,MULTICOMP PRO,"MULTICOMP PRO  LED, Green, Through Hole, 3mm, 20 mA, 2.1 V, 572 nm",10140,0.165,3.3,
27,2112098,RoHS: YES / FTALAATIT: YES,,,20,703-0088,MULTICOMP PRO,"MULTICOMP PRO  LED, Yellow, Through Hole, 3mm, 20 mA, 2.1 V, 590 nm",9260,0.192,3.84,
28,1863180,RoHS: YES / FTALAATIT: YES,,,20,HLMP-Y502-F0000,BROADCOM,"BROADCOM  LED, Green, Through Hole, 3mm, 20 mA, 2.2 V, 573 nm",13682,0.336,6.72,
29,9728880,RoHS: YES / FTALAATIT: TBA,,,5,BL3.36Z,FISCHER ELEKTRONIK,"FISCHER ELEKTRONIK  Wire-To-Board Connector, Right Angle, 2.54 mm, 36 Contacts, Receptacle, BL Series, Through Hole",561,4.08,20.4,
30,1629139,RoHS: YES / FTALAATIT: YES,,,5,MKLP 18 Z 50,FISCHER ELEKTRONIK,"FISCHER ELEKTRONIK  Wire-To-Board Connector, 2.54 mm, 50 Contacts, Receptacle, MKLP Series, Through Hole, 1 Rows",212,7.88,39.4,
31,1605565,RoHS: YES / FTALAATIT: YES,,,10,MCP2515-E/SO,MICROCHIP,"MICROCHIP  CAN Bus, Controller, SPI, 3, 2, 2.7 V, 5.5 V, SOIC",2958,1.9,19,
32,3124662,RoHS: YES / FTALAATIT: YES,,,10,ISO1050DUBR,TEXAS INSTRUMENTS,"TEXAS INSTRUMENTS  IC, CAN TRANSCEIVER, ISOLATED, 5V",22159,3.96,39.6,
33,2550729,RoHS: YES / FTALAATIT: YES,,,2,"RPI-BC 107,6 DEV-KIT KMGY",PHOENIX CONTACT,"PHOENIX CONTACT  Electronic Housing, For Raspberry Pi-BC, Lower Part, Upper Part, Cover & PCB Holder, Light Gray",577,17.5,35,
34,2063959,RoHS: YES / FTALAATIT: YES,,,5,FOX924B-16.000,FOX ELECTRONICS,"FOX ELECTRONICS  TCXO, 16 MHz, 2.5 ppm, SMD, 5mm x 3.2mm, HCMOS, 3.3 V, FOX924 Series",713,3,15,
35,3007788,RoHS: YES / FTALAATIT: YES,,,20,TLV70433DBVT,TEXAS INSTRUMENTS,"TEXAS INSTRUMENTS  Fixed LDO Voltage Regulator, 2.5V to 24V, 850mV Dropout, 3.3Vout, 150mAout, SOT-23-5",4273,0.595,11.9,
36,1556163,RoHS: YES / FTALAATIT: YES,,,20,24LC08BT-I/OT,MICROCHIP,"MICROCHIP  EEPROM, 8 Kbit, 4 BLK (256 x 8bit), Serial I2C (2-Wire), 400 kHz, SOT-23, 5 Pins",2705,0.214,4.28,
37,1431256,RoHS: YES / FTALAATIT: YES,,,20,MMSZ10T1G,ON SEMICONDUCTOR,"ON SEMICONDUCTOR  Zener Single Diode, 10 V, 500 mW, SOD-123, 5 %, 2 Pins, 150 °C",1505,0.177,3.54,
,,,,,,,,,,,,
,,,,,,,Välisumma,690.26,,,,
,,,,,,,Tavaroiden summa,690.26,,,,
,,,,,,,Toimitus,11,,,,
,,,,,,,Suoratoimitusmaksu,35.97,,,,
,,,,,,,ALV,228.77,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,Yhteensä,843.62,,,,
