Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_1210_3225Metric",6.414882,-3.610000,180.000000,bottom
"C2","10uf","C_1210_3225Metric",6.500000,-3.050000,180.000000,bottom
"C3","10uf","C_1210_3225Metric",6.250000,-2.874882,90.000000,bottom
"C8","100nf","C_0805_2012Metric",4.870000,-2.980000,90.000000,bottom
"C9","100nf","C_0805_2012Metric",5.293091,-4.270000,0.000000,bottom
"C12","100nf","C_0805_2012Metric",6.340000,-4.006909,90.000000,bottom
"C13","100nf","C_0805_2012Metric",6.670000,-3.783091,90.000000,bottom
"C15","100nf","C_0805_2012Metric",5.580000,-3.390000,90.000000,bottom
"C16","7.3nF","C_0805_2012Metric",6.990000,-3.150000,180.000000,bottom
"C17","7.3nF","C_0805_2012Metric",6.006909,-3.340000,180.000000,bottom
"D1","1N4007","DO-214AC(SMA)",6.470000,-3.785200,90.000000,bottom
"D5","NRVTSA4100ET3G","DO-214AC(SMA)",6.656219,-4.389981,180.000000,bottom
"L1","22uH","INDPM6060X300N",6.510000,-3.320000,90.000000,bottom
"R4","1.3kΩ","R_1206_3216Metric",6.250000,-3.985118,90.000000,bottom
"R6","18kΩ","R_1206_3216Metric",6.340000,-3.844882,90.000000,bottom
"R7","1.2kΩ","R_1206_3216Metric",7.010000,-3.455118,270.000000,bottom
"R8","1.2kΩ","R_1206_3216Metric",6.130000,-3.574882,90.000000,bottom
"R9","2.2kΩ","R_1206_3216Metric",6.925118,-2.970000,180.000000,bottom
"R10","2.2kΩ","R_1206_3216Metric",5.975118,-2.970000,180.000000,bottom
"R11","330Ω","R_1206_3216Metric",7.240000,-3.570000,270.000000,bottom
"R12","1kΩ","R_1206_3216Metric",5.394882,-3.140000,180.000000,bottom
"R13","1kΩ","R_1206_3216Metric",5.580000,-4.042913,90.000000,bottom
"R14","220Ω","R_1206_3216Metric",6.820000,-3.150000,180.000000,bottom
"R15","220Ω","R_1206_3216Metric",5.834882,-3.340000,180.000000,bottom
"U1","DS3231","SOIC127P1032X265-16N",5.285000,-3.475000,180.000000,bottom
"U6","MAX9611","MAX9611AUB&plus_",6.860000,-3.910827,180.000000,bottom
"U7","MAX9611","MAX9611AUB&plus_",6.035000,-3.910827,180.000000,bottom
