Ref,Val,Package,PosX,PosY,Rot,Side
"C4","100nf","C_0805_2012Metric",5.436909,-4.070000,0.000000,top
"C5","100nf","C_0805_2012Metric",5.300000,-4.070000,0.000000,top
"C6","10uf","C_1210_3225Metric",5.530000,-2.985118,270.000000,top
"C7","100nf","C_0805_2012Metric",5.560000,-4.333091,270.000000,top
"C10","100nf","C_0805_2012Metric",5.163091,-4.070000,0.000000,top
"C11","100nf","C_0805_2012Metric",7.070000,-4.070000,90.000000,top
"C14","100nf","C_0805_2012Metric",5.860000,-3.916909,270.000000,top
"D6","NRVTSA4100ET3G","DO-214AC(SMA)",5.720000,-4.490000,90.000000,top
"Q1","SUM110P06","TO-263-2",6.910000,-3.370000,270.000000,top
"Q2","SUM110P06","TO-263-2",6.035000,-3.375000,270.000000,top
"R1","22mΩ","R_2512_6332Metric",6.860000,-3.910827,270.000000,top
"R2","22mΩ","R_2512_6332Metric",6.035000,-3.910827,270.000000,top
"R3","1.3kΩ","R_1206_3216Metric",7.170000,-4.054882,90.000000,top
"R5","18kΩ","R_1206_3216Metric",7.170000,-3.874882,90.000000,top
"U3","TLV70433","TLV70433DBVT",5.672598,-2.950000,270.000000,top
"U4","SP3232","SOIC-16_3.9x9.9mm_P1.27mm",5.310000,-4.275000,270.000000,top
"U5","24AA08","24AA08T-I&slash_OT",5.010000,-2.980000,180.000000,top
